<<<<<<< HEAD
entry	name	orthology	orthology_name
ko04971	Gastric acid secretion	K08041  	adenylate cyclase 1 [EC:4.6.1.1]
ko04971	Gastric acid secretion	K08042  	adenylate cyclase 2 [EC:4.6.1.1]
ko04971	Gastric acid secretion	K08043  	adenylate cyclase 3 [EC:4.6.1.1]
ko04971	Gastric acid secretion	K08044  	adenylate cyclase 4 [EC:4.6.1.1]
ko04971	Gastric acid secretion	K08045  	adenylate cyclase 5 [EC:4.6.1.1]
ko04971	Gastric acid secretion	K08046  	adenylate cyclase 6 [EC:4.6.1.1]
ko04971	Gastric acid secretion	K08047  	adenylate cyclase 7 [EC:4.6.1.1]
ko04971	Gastric acid secretion	K08048  	adenylate cyclase 8 [EC:4.6.1.1]
ko04971	Gastric acid secretion	K08049  	adenylate cyclase 9 [EC:4.6.1.1]
ko04971	Gastric acid secretion	K05237  	somatostatin
ko04971	Gastric acid secretion	K04218  	somatostatin receptor 2
ko04971	Gastric acid secretion	K04630  	guanine nucleotide-binding protein G(i) subunit alpha
ko04971	Gastric acid secretion	K04345  	protein kinase A [EC:2.7.11.11]
ko04971	Gastric acid secretion	K01542  	H+/K+-exchanging ATPase subunit alpha [EC:7.2.2.19]
ko04971	Gastric acid secretion	K01543  	H+/K+-exchanging ATPase subunit beta [EC:7.2.2.19]
ko04971	Gastric acid secretion	K04896  	potassium voltage-gated channel Isk-related subfamily E member 2
ko04971	Gastric acid secretion	K04926  	potassium voltage-gated channel KQT-like subfamily member 1
ko04971	Gastric acid secretion	K04995  	potassium inwardly-rectifying channel subfamily J member 1
ko04971	Gastric acid secretion	K04996  	potassium inwardly-rectifying channel subfamily J member 2
ko04971	Gastric acid secretion	K05003  	potassium inwardly-rectifying channel subfamily J member 10
ko04971	Gastric acid secretion	K05008  	potassium inwardly-rectifying channel subfamily J member 15
ko04971	Gastric acid secretion	K05009  	potassium inwardly-rectifying channel subfamily J member 16
ko04971	Gastric acid secretion	K05031  	cystic fibrosis transmembrane conductance regulator [EC:5.6.1.6]
ko04971	Gastric acid secretion	K04913  	potassium channel subfamily K member 2
ko04971	Gastric acid secretion	K04920  	potassium channel subfamily K member 10
ko04971	Gastric acid secretion	K01539  	sodium/potassium-transporting ATPase subunit alpha [EC:7.2.2.13]
ko04971	Gastric acid secretion	K01540  	sodium/potassium-transporting ATPase subunit beta
ko04971	Gastric acid secretion	K05742  	"solute carrier family 9 (sodium/hydrogen exchanger), member 1"
ko04971	Gastric acid secretion	K13961  	"solute carrier family 9 (sodium/hydrogen exchanger), member 4"
ko04971	Gastric acid secretion	K18245  	carbonic anhydrase 2 [EC:4.2.1.1]
ko04971	Gastric acid secretion	K13962  	"solute carrier family 26 (anion exchange transporter), member 7"
ko04971	Gastric acid secretion	K13855  	"solute carrier family 4 (anion exchanger), member 2"
ko04972 	Pancreatic secretion	K04131  	muscarinic acetylcholine receptor M3
ko04972 	Pancreatic secretion	K05226  	cholecystokinin
ko04972 	Pancreatic secretion	K04194  	cholecystokinin A receptor
ko04972 	Pancreatic secretion	K04634  	guanine nucleotide-binding protein G(q) subunit alpha
ko04972 	Pancreatic secretion	K05858  	"phosphatidylinositol phospholipase C, beta [EC:3.1.4.11]"
ko04972 	Pancreatic secretion	K02677  	classical protein kinase C alpha type [EC:2.7.11.13]
ko04972 	Pancreatic secretion	K19662  	classical protein kinase C beta type [EC:2.7.11.13]
ko04972 	Pancreatic secretion	K19663  	classical protein kinase C gamma type [EC:2.7.11.13]
ko04972 	Pancreatic secretion	K07884  	Ras-related protein Rab-3D
ko04972 	Pancreatic secretion	K07901  	Ras-related protein Rab-8A
ko04972 	Pancreatic secretion	K07904  	Ras-related protein Rab-11A
ko04972 	Pancreatic secretion	K07886  	Ras-related protein Rab-27B
ko04972 	Pancreatic secretion	K04353  	Ras-related protein Rap-1A
ko04972 	Pancreatic secretion	K07836  	Ras-related protein Rap-1B
ko04972 	Pancreatic secretion	K04513  	"Ras homolog gene family, member A"
ko04972 	Pancreatic secretion	K04392  	Ras-related C3 botulinum toxin substrate 1
ko04972 	Pancreatic secretion	K01176  	alpha-amylase [EC:3.2.1.1]
ko04972 	Pancreatic secretion	K01312  	trypsin [EC:3.4.21.4]
ko04972 	Pancreatic secretion	K01310  	chymotrypsin [EC:3.4.21.1]
ko04972 	Pancreatic secretion	K09632  	chymotrypsin-like protease [EC:3.4.21.-]
ko04972 	Pancreatic secretion	K01346  	pancreatic elastase II [EC:3.4.21.71]
ko04972 	Pancreatic secretion	K01345  	pancreatic endopeptidase E [EC:3.4.21.70]
ko04972 	Pancreatic secretion	K08779  	carboxypeptidase A1 [EC:3.4.17.1]
ko04972 	Pancreatic secretion	K01298  	carboxypeptidase A2 [EC:3.4.17.15]
ko04972 	Pancreatic secretion	K08780  	carboxypeptidase A3 [EC:3.4.17.1]
ko04972 	Pancreatic secretion	K01291  	carboxypeptidase B [EC:3.4.17.2]
ko04972 	Pancreatic secretion	K01300  	carboxypeptidase B2 [EC:3.4.17.20]
ko04972 	Pancreatic secretion	K14073  	pancreatic triacylglycerol lipase [EC:3.1.1.3]
ko04972 	Pancreatic secretion	K14074  	pancreatic lipase-related protein 1 [EC:3.1.1.3]
ko04972 	Pancreatic secretion	K14075  	pancreatic lipase-related protein 2 [EC:3.1.1.3]
ko04972 	Pancreatic secretion	K12298  	bile salt-stimulated lipase [EC:3.1.1.13 3.1.1.3]
ko04972 	Pancreatic secretion	K01047  	secretory phospholipase A2 [EC:3.1.1.4]
ko04972 	Pancreatic secretion	K04958  	"inositol 1,4,5-triphosphate receptor type 1"
ko04972 	Pancreatic secretion	K04959  	"inositol 1,4,5-triphosphate receptor type 2"
ko04972 	Pancreatic secretion	K04960  	"inositol 1,4,5-triphosphate receptor type 3"
ko04972 	Pancreatic secretion	K04962  	ryanodine receptor 2
ko04972 	Pancreatic secretion	K01242  	ADP-ribosyl cyclase 1 [EC:3.2.2.6 2.4.99.20]
ko04972 	Pancreatic secretion	K18152  	ADP-ribosyl cyclase 2 [EC:3.2.2.6 2.4.99.20]
ko04972 	Pancreatic secretion	K14077  	two pore calcium channel protein 2
ko04972 	Pancreatic secretion	K05853  	P-type Ca2+ transporter type 2A [EC:7.2.2.10]
ko04972 	Pancreatic secretion	K05027  	calcium-activated chloride channel regulator 1
ko04972 	Pancreatic secretion	K05028  	calcium-activated chloride channel regulator 2
ko04972 	Pancreatic secretion	K05030  	calcium-activated chloride channel regulator 3/4
ko04972 	Pancreatic secretion	K04964  	transient receptor potential cation channel subfamily C member 1
ko04972 	Pancreatic secretion	K10951  	"solute carrier family 12 (sodium/potassium/chloride transporter), member 2"
ko04972 	Pancreatic secretion	K01539  	sodium/potassium-transporting ATPase subunit alpha [EC:7.2.2.13]
ko04972 	Pancreatic secretion	K01540  	sodium/potassium-transporting ATPase subunit beta
ko04972 	Pancreatic secretion	K01538  	sodium/potassium-transporting ATPase subunit gamma (FXYD domain-containing ion transport regulator 2)
ko04972 	Pancreatic secretion	K04926  	potassium voltage-gated channel KQT-like subfamily member 1
ko04972 	Pancreatic secretion	K04936  	potassium large conductance calcium-activated channel subfamily M alpha member 1
ko04972 	Pancreatic secretion	K05850  	P-type Ca2+ transporter type 2B [EC:7.2.2.10]
ko04972 	Pancreatic secretion	K05742  	"solute carrier family 9 (sodium/hydrogen exchanger), member 1"
ko04972 	Pancreatic secretion	K13855  	"solute carrier family 4 (anion exchanger), member 2"
ko04972 	Pancreatic secretion	K05263  	secretin
ko04972 	Pancreatic secretion	K04588  	secretin receptor
ko04972 	Pancreatic secretion	K04632  	guanine nucleotide-binding protein G(s) subunit alpha
ko04972 	Pancreatic secretion	K08041  	adenylate cyclase 1 [EC:4.6.1.1]
ko04972 	Pancreatic secretion	K08042  	adenylate cyclase 2 [EC:4.6.1.1]
ko04972 	Pancreatic secretion	K08043  	adenylate cyclase 3 [EC:4.6.1.1]
ko04972 	Pancreatic secretion	K08044  	adenylate cyclase 4 [EC:4.6.1.1]
ko04972 	Pancreatic secretion	K08045  	adenylate cyclase 5 [EC:4.6.1.1]
ko04972 	Pancreatic secretion	K08046  	adenylate cyclase 6 [EC:4.6.1.1]
ko04972 	Pancreatic secretion	K08047  	adenylate cyclase 7 [EC:4.6.1.1]
ko04972 	Pancreatic secretion	K08048  	adenylate cyclase 8 [EC:4.6.1.1]
ko04972 	Pancreatic secretion	K08049  	adenylate cyclase 9 [EC:4.6.1.1]
ko04972 	Pancreatic secretion	K05031  	cystic fibrosis transmembrane conductance regulator [EC:5.6.1.6]
ko04972 	Pancreatic secretion	K14078  	"solute carrier family 26 (chloride anion exchanger), member 3"
ko04972 	Pancreatic secretion	K13575  	"solute carrier family 4 (sodium bicarbonate cotransporter), member 4"
ko04972 	Pancreatic secretion	K18245  	carbonic anhydrase 2 [EC:4.2.1.1]
ko00280 	"Valine, leucine and isoleucine degradation"	K00826  	branched-chain amino acid aminotransferase [EC:2.6.1.42]
ko00280 	"Valine, leucine and isoleucine degradation"	K03334  	L-amino-acid oxidase [EC:1.4.3.2]
ko00280 	"Valine, leucine and isoleucine degradation"	K00271  	valine dehydrogenase (NAD+) [EC:1.4.1.23]
ko00280 	"Valine, leucine and isoleucine degradation"	K00263  	leucine dehydrogenase [EC:1.4.1.9]
ko00280 	"Valine, leucine and isoleucine degradation"	K00166  	2-oxoisovalerate dehydrogenase E1 component subunit alpha [EC:1.2.4.4]
ko00280 	"Valine, leucine and isoleucine degradation"	K00167  	2-oxoisovalerate dehydrogenase E1 component subunit beta [EC:1.2.4.4]
ko00280 	"Valine, leucine and isoleucine degradation"	K11381  	2-oxoisovalerate dehydrogenase E1 component [EC:1.2.4.4]
ko00280 	"Valine, leucine and isoleucine degradation"	K09699  	2-oxoisovalerate dehydrogenase E2 component (dihydrolipoyl transacylase) [EC:2.3.1.168]
ko00280 	"Valine, leucine and isoleucine degradation"	K00382  	dihydrolipoyl dehydrogenase [EC:1.8.1.4]
ko00280 	"Valine, leucine and isoleucine degradation"	K00186  	2-oxoisovalerate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.7]
ko00280 	"Valine, leucine and isoleucine degradation"	K00187  	2-oxoisovalerate ferredoxin oxidoreductase beta subunit [EC:1.2.7.7]
ko00280 	"Valine, leucine and isoleucine degradation"	K00189  	2-oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.7 1.2.7.1]
ko00280 	"Valine, leucine and isoleucine degradation"	K00188  	2-oxoisovalerate ferredoxin oxidoreductase delta subunit [EC:1.2.7.7]
ko00280 	"Valine, leucine and isoleucine degradation"	K00248  	butyryl-CoA dehydrogenase [EC:1.3.8.1]
ko00280 	"Valine, leucine and isoleucine degradation"	K00249  	acyl-CoA dehydrogenase [EC:1.3.8.7]
ko00280 	"Valine, leucine and isoleucine degradation"	K00253  	isovaleryl-CoA dehydrogenase [EC:1.3.8.4]
ko00280 	"Valine, leucine and isoleucine degradation"	K11410  	short-chain 2-methylacyl-CoA dehydrogenase [EC:1.3.8.5]
ko00280 	"Valine, leucine and isoleucine degradation"	K09478  	short-chain 2-methylacyl-CoA dehydrogenase [EC:1.3.8.5]
ko00280 	"Valine, leucine and isoleucine degradation"	K11538  	isobutyryl-CoA dehydrogenase [EC:1.3.99.-]
ko00280 	"Valine, leucine and isoleucine degradation"	K01692  	enoyl-CoA hydratase [EC:4.2.1.17]
ko00280 	"Valine, leucine and isoleucine degradation"	K01825  	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8]
ko00280 	"Valine, leucine and isoleucine degradation"	K01782  	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3]
ko00280 	"Valine, leucine and isoleucine degradation"	K07515  	enoyl-CoA hydratase / long-chain 3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.211]
ko00280 	"Valine, leucine and isoleucine degradation"	K07514  	"enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase / 3,2-trans-enoyl-CoA isomerase [EC:4.2.1.17 1.1.1.35 5.3.3.8]"
ko00280 	"Valine, leucine and isoleucine degradation"	K07511  	enoyl-CoA hydratase [EC:4.2.1.17]
ko00280 	"Valine, leucine and isoleucine degradation"	K00022  	3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]
ko00280 	"Valine, leucine and isoleucine degradation"	K08683  	3-hydroxyacyl-CoA dehydrogenase / 3-hydroxy-2-methylbutyryl-CoA dehydrogenase [EC:1.1.1.35 1.1.1.178]
ko00280 	"Valine, leucine and isoleucine degradation"	K00632  	acetyl-CoA acyltransferase [EC:2.3.1.16]
ko00280 	"Valine, leucine and isoleucine degradation"	K07513  	acetyl-CoA acyltransferase 1 [EC:2.3.1.16]
ko00280 	"Valine, leucine and isoleucine degradation"	K07508  	acetyl-CoA acyltransferase 2 [EC:2.3.1.16]
ko00280 	"Valine, leucine and isoleucine degradation"	K07509  	acetyl-CoA acyltransferase [EC:2.3.1.16]
ko00280 	"Valine, leucine and isoleucine degradation"	K01965  	propionyl-CoA carboxylase alpha chain [EC:6.4.1.3]
ko00280 	"Valine, leucine and isoleucine degradation"	K01966  	propionyl-CoA carboxylase beta chain [EC:6.4.1.3 2.1.3.15]
ko00280 	"Valine, leucine and isoleucine degradation"	K11263  	"acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]"
ko00280 	"Valine, leucine and isoleucine degradation"	K18472  	acetyl-CoA/propionyl-CoA carboxylase carboxyl transferase subunit [EC:6.4.1.2 6.4.1.3 2.1.3.15]
ko00280 	"Valine, leucine and isoleucine degradation"	K19312  	acetyl-CoA/propionyl-CoA carboxylase carboxyl transferase subunit [EC:6.4.1.2 6.4.1.3 2.1.3.15]
ko00280 	"Valine, leucine and isoleucine degradation"	K22568  	"acetyl-CoA/propionyl-CoA carboxylase, PccX subunit [EC:6.4.1.2 6.4.1.3]"
ko00280 	"Valine, leucine and isoleucine degradation"	K01964  	acetyl-CoA/propionyl-CoA carboxylase [EC:6.4.1.2 6.4.1.3]
ko00280 	"Valine, leucine and isoleucine degradation"	K15036  	acetyl-CoA/propionyl-CoA carboxylase [EC:6.4.1.2 6.4.1.3 2.1.3.15]
ko00280 	"Valine, leucine and isoleucine degradation"	K15037  	biotin carboxyl carrier protein
ko00280 	"Valine, leucine and isoleucine degradation"	K05606  	methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1]
ko00280 	"Valine, leucine and isoleucine degradation"	K01847  	methylmalonyl-CoA mutase [EC:5.4.99.2]
ko00280 	"Valine, leucine and isoleucine degradation"	K01849  	"methylmalonyl-CoA mutase, C-terminal domain [EC:5.4.99.2]"
ko00280 	"Valine, leucine and isoleucine degradation"	K01848  	"methylmalonyl-CoA mutase, N-terminal domain [EC:5.4.99.2]"
ko00280 	"Valine, leucine and isoleucine degradation"	K05605  	3-hydroxyisobutyryl-CoA hydrolase [EC:3.1.2.4]
ko00280 	"Valine, leucine and isoleucine degradation"	K00020  	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
ko00280 	"Valine, leucine and isoleucine degradation"	K23146  	3-hydroxyisobutyrate/3-hydroxypropionate dehydrogenase [EC:1.1.1.31 1.1.1.59]
ko00280 	"Valine, leucine and isoleucine degradation"	K00140  	malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]
ko00280 	"Valine, leucine and isoleucine degradation"	K00128  	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
ko00280 	"Valine, leucine and isoleucine degradation"	K14085  	aldehyde dehydrogenase family 7 member A1 [EC:1.2.1.31 1.2.1.8 1.2.1.3]
ko00280 	"Valine, leucine and isoleucine degradation"	K00149  	aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3]
ko00280 	"Valine, leucine and isoleucine degradation"	K00157  	aldehyde oxidase [EC:1.2.3.1]
ko00280 	"Valine, leucine and isoleucine degradation"	K18660  	malonyl-CoA/methylmalonyl-CoA synthetase [EC:6.2.1.76 6.2.1.-]
ko00280 	"Valine, leucine and isoleucine degradation"	K18661  	malonyl-CoA/methylmalonyl-CoA synthetase [EC:6.2.1.76 6.2.1.-]
ko00280 	"Valine, leucine and isoleucine degradation"	K00822  	beta-alanine--pyruvate transaminase [EC:2.6.1.18]
ko00280 	"Valine, leucine and isoleucine degradation"	K07250  	4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase / 5-aminovalerate transaminase [EC:2.6.1.19 2.6.1.22 2.6.1.48]
ko00280 	"Valine, leucine and isoleucine degradation"	K13524  	4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase [EC:2.6.1.19 2.6.1.22]
ko00280 	"Valine, leucine and isoleucine degradation"	K00827  	alanine-glyoxylate transaminase / (R)-3-amino-2-methylpropionate-pyruvate transaminase [EC:2.6.1.44 2.6.1.40]
ko00280 	"Valine, leucine and isoleucine degradation"	K01968  	3-methylcrotonyl-CoA carboxylase alpha subunit [EC:6.4.1.4]
ko00280 	"Valine, leucine and isoleucine degradation"	K01969  	3-methylcrotonyl-CoA carboxylase beta subunit [EC:6.4.1.4]
ko00280 	"Valine, leucine and isoleucine degradation"	K05607  	methylglutaconyl-CoA hydratase [EC:4.2.1.18]
ko00280 	"Valine, leucine and isoleucine degradation"	K13766  	methylglutaconyl-CoA hydratase [EC:4.2.1.18]
ko00280 	"Valine, leucine and isoleucine degradation"	K01640  	hydroxymethylglutaryl-CoA lyase [EC:4.1.3.4]
ko00280 	"Valine, leucine and isoleucine degradation"	K01027  	3-oxoacid CoA-transferase [EC:2.8.3.5]
ko00280 	"Valine, leucine and isoleucine degradation"	K01028  	3-oxoacid CoA-transferase subunit A [EC:2.8.3.5]
ko00280 	"Valine, leucine and isoleucine degradation"	K01029  	3-oxoacid CoA-transferase subunit B [EC:2.8.3.5]
ko00280 	"Valine, leucine and isoleucine degradation"	K01907  	acetoacetyl-CoA synthetase [EC:6.2.1.16]
ko00280 	"Valine, leucine and isoleucine degradation"	K00626  	acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
ko00280 	"Valine, leucine and isoleucine degradation"	K01641  	hydroxymethylglutaryl-CoA synthase [EC:2.3.3.10]
ko00350	Tyrosine metabolism	K14454  	"aspartate aminotransferase, cytoplasmic [EC:2.6.1.1]"
ko00350	Tyrosine metabolism	K14455  	"aspartate aminotransferase, mitochondrial [EC:2.6.1.1]"
ko00350	Tyrosine metabolism	K00811  	"aspartate aminotransferase, chloroplastic [EC:2.6.1.1]"
ko00350	Tyrosine metabolism	K00812  	aspartate aminotransferase [EC:2.6.1.1]
ko00350	Tyrosine metabolism	K00813  	aspartate aminotransferase [EC:2.6.1.1]
ko00350	Tyrosine metabolism	K11358  	aspartate aminotransferase [EC:2.6.1.1]
ko00350	Tyrosine metabolism	K15849  	bifunctional aspartate aminotransferase and glutamate/aspartate-prephenate aminotransferase [EC:2.6.1.1 2.6.1.78 2.6.1.79]
ko00350	Tyrosine metabolism	K00815  	tyrosine aminotransferase [EC:2.6.1.5]
ko00350	Tyrosine metabolism	K00817  	histidinol-phosphate aminotransferase [EC:2.6.1.9]
ko00350	Tyrosine metabolism	K00832  	aromatic-amino-acid transaminase [EC:2.6.1.57]
ko00350	Tyrosine metabolism	K00838  	aromatic amino acid aminotransferase I / 2-aminoadipate transaminase [EC:2.6.1.57 2.6.1.39 2.6.1.27 2.6.1.5]
ko00350	Tyrosine metabolism	K05821  	aromatic amino acid aminotransferase II [EC:2.6.1.58 2.6.1.28]
ko00350	Tyrosine metabolism	K00270  	phenylalanine dehydrogenase [EC:1.4.1.20]
ko00350	Tyrosine metabolism	K03334  	L-amino-acid oxidase [EC:1.4.3.2]
ko00350	Tyrosine metabolism	K00457  	4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27]
ko00350	Tyrosine metabolism	K00451  	"homogentisate 1,2-dioxygenase [EC:1.13.11.5]"
ko00350	Tyrosine metabolism	K01800  	maleylacetoacetate isomerase [EC:5.2.1.2]
ko00350	Tyrosine metabolism	K01555  	fumarylacetoacetase [EC:3.7.1.2]
ko00350	Tyrosine metabolism	K16171  	fumarylacetoacetate (FAA) hydrolase [EC:3.7.1.2]
ko00350	Tyrosine metabolism	K00422  	polyphenol oxidase [EC:1.10.3.1]
ko00350	Tyrosine metabolism	K00505  	tyrosinase [EC:1.14.18.1]
ko00350	Tyrosine metabolism	K00501  	tyrosine 3-monooxygenase [EC:1.14.16.2]
ko00350	Tyrosine metabolism	K24287  	L-tyrosine peroxygenase [EC:1.11.2.6]
