"Mag","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.041","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Ruthenibacterium","Ruthenibacterium_sp002315015"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.042","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-74","Firm-11","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.043","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Faecalicoccus","Faecalicoccus_acidiformans"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.045","Bacteria","Firmicutes","Bacilli","RF39","UBA660","CAG-877","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.046","Bacteria","Firmicutes_A","Clostridia","Peptostreptococcales","Anaerovoracaceae","Unidentified","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.048","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Barnesiellaceae","Barnesiella","Barnesiella_viscericola"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.049","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","Unidentified","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.050","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Amulumruptor","Amulumruptor_caecigallinarius"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.051","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Acutalibacter","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.056","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-74","Firm-11","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.058","Bacteria","Firmicutes_A","Clostridia","Peptostreptococcales","Anaerovoracaceae","UBA1191","UBA1191_sp900543485"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.060","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","UBA7182","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.062","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Massiliomicrobiota","Massiliomicrobiota_sp002160815"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.063","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.068","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Anaerotignaceae","Anaerotignum","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.072","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus_gallinarum"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.073","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Butyricicoccaceae","Agathobaculum","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.075","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","Evtepia","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.079","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Massilistercora","Massilistercora_timonensis"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.081","Bacteria","Cyanobacteria","Vampirovibrionia","Gastranaerophilales","Gastranaerophilaceae","CAG-484","CAG-484_sp000431315"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.082","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Campylobacteraceae","Campylobacter_D","Campylobacter_D_coli"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.085","Bacteria","Firmicutes","Bacilli","RF39","UBA660","UMGS1648","UMGS1648_sp900553765"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.088","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia_flexneri"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.089","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","UBA1417","UBA1417_sp900552925"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.090","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Merdimonas","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.095","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Gemmiger","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.098","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Tidjanibacter","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.099","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Eubacterium_R","Eubacterium_R_sp900539425"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.101","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Helicobacteraceae","Helicobacter_D","Helicobacter_D_pullorum"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.107","Bacteria","Cyanobacteria","Vampirovibrionia","Gastranaerophilales","RUG14156","Unidentified","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.110","Bacteria","Deferribacterota","Deferribacteres","Deferribacterales","Mucispirillaceae","Mucispirillum","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.113","Bacteria","Proteobacteria","Alphaproteobacteria","RF32","CAG-239","CAG-495","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.114","Bacteria","Firmicutes","Bacilli","RF39","UBA660","CAG-877","CAG-877_sp900554305"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.119","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Mailhella","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.120","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","Unidentified","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.121","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-465","Unidentified","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.124","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Helicobacteraceae","Helicobacter_D","Helicobacter_D_pullorum"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.127","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Rubneribacter","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.128","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.137","Bacteria","Proteobacteria","Alphaproteobacteria","RF32","CAG-239","CAG-495","CAG-495_sp000436375"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.139","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","UBA5446","UBA5446_sp900543085"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.143","Bacteria","Firmicutes_A","Clostridia","Peptostreptococcales","Anaerovoracaceae","Unidentified","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.147","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Gemmiger","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.152","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA11940","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.156","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Helicobacteraceae","Helicobacter_D","Helicobacter_D_pullorum"
"Cecum.out.p_ctg.gfa.seq.fa.len.circular.fa.157","Bacteria","Firmicutes","Bacilli","RF39","UBA660","CAG-822","CAG-822_sp000432855"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1016","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Anaerotruncus","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1024","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Fusicatenibacter","Fusicatenibacter_sp900543115"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1028","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor","Flavonifractor_sp002161215"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1032","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Butyricicoccaceae","Unidentified","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1039","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","Unidentified","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1062","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","Lawsonibacter","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1067","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Unidentified","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1083","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Gemmiger","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1086","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA11471","UBA11471","UBA11471_sp000434215"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1090","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Barnesiellaceae","Barnesiella","Barnesiella_sp900542255"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1091","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","UBA3402","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1095","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-269","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1111","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","Borkfalkia","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1120","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1123","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_clarus"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1131","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Butyricicoccaceae","SCN-57-10","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1228","Bacteria","Cyanobacteria","Vampirovibrionia","Gastranaerophilales","Gastranaerophilaceae","Unidentified","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1253","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","CAG-557","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1271","Bacteria","Firmicutes_B","Dehalobacteriia","UBA4068","UBA4068","Unidentified","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1400","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1433","Bacteria","Firmicutes","Bacilli","RF39","UBA660","CAG-822","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.1440","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","UBA941","Unidentified","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.209","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.227","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","CAG-180","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.229","Bacteria","Firmicutes_A","Clostridia","Peptostreptococcales","Anaerovoracaceae","UBA1191","UBA1191_sp900543485"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.269","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia_sp900543715"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.275","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","UMGS1071","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.281","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium_A","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.298","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Blautia_A","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.316","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.336","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","UBA3700","CABKMX01","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.341","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-269","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.366","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","Faecalibacterium_sp002160915"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.391","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.399","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Butyricicoccaceae","UMGS1384","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.402","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.442","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","Flavonifractor","Flavonifractor_sp002161215"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.448","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","UBA1390","Unidentified","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.464","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","Unidentified","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.491","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","Dysosmobacter","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.509","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","Borkfalkia","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.510","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-269","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.520","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-110","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.546","Bacteria","Firmicutes_B","Peptococcia","DRI-13","UBA5745","Unidentified","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.551","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","RUG12045","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.569","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","Mediterraneibacter_sp002159505"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.571","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","Evtepia","Evtepia_sp004554585"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.624","Bacteria","Cyanobacteria","Vampirovibrionia","Gastranaerophilales","RUG14156","Unidentified","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.628","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","CAG-81","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.633","Bacteria","Firmicutes_A","Clostridia","Peptostreptococcales","Anaerovoracaceae","Unidentified","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.635","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","UBA9475","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.645","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","UBA7182","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.648","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.651","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Gemmiger","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.656","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.657","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.664","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Blautia_A","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.684","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Unidentified","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.686","Bacteria","Firmicutes_A","Clostridia","Peptostreptococcales","Anaerovoracaceae","Unidentified","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.691","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-273","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.708","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Massilistercora","Massilistercora_timonensis"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.710","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","CAG-81","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.734","Bacteria","Firmicutes","Bacilli","Bacillales","Unidentified","Unidentified","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.737","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.743","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Ruminococcus_G","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.747","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Anaerotignaceae","ASF356","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.748","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","UBA1448","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.762","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","UBA7001","UBA7001_sp900553685"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.773","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","Unidentified","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.779","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.785","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","Evtepia","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.788","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-354","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.803","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA11471","UBA11471","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.806","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.807","Bacteria","Cyanobacteria","Vampirovibrionia","Gastranaerophilales","RUG14156","Unidentified","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.809","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","UC5-1-2E3","UC5-1-2E3_sp001304875"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.825","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","Intestinimonas","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.826","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-354","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.830","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.845","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","Intestinimonas","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.848","Bacteria","Firmicutes_A","Clostridia","Peptostreptococcales","Anaerovoracaceae","QAKD01","Unidentified"
"Cecum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.852","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Gemmiger","Unidentified"
